PPG GSR SENSOR_TIME COMPUTER_TIME
1621.245421 76347.457627 9852212 1590688755.469553
1607.326007 76347.457627 9852372 1590688755.469553
1595.604396 79026.315789 9852532 1590688755.480522
1585.347985 76347.457627 9852692 1590688755.481522
1575.824176 76347.457627 9852852 1590688755.492492
1566.300366 76347.457627 9853012 1590688755.492492
1559.706960 79026.315789 9853172 1590688755.505456
1551.648352 79026.315789 9853332 1590688755.506454
1542.857143 79026.315789 9853492 1590688755.507450
1533.333333 79026.315789 9853652 1590688755.507450
1523.809524 76347.457627 9853812 1590688755.516433
1514.285714 79026.315789 9853972 1590688755.516433
1504.761905 79026.315789 9854132 1590688755.562395
1496.703297 79026.315789 9854292 1590688755.562395
1487.912088 76347.457627 9854452 1590688755.563392
1479.853480 76347.457627 9854612 1590688755.563392
1472.527473 79026.315789 9854772 1590688755.579346
1466.666667 79026.315789 9854932 1590688755.580347
1462.271062 76347.457627 9855092 1590688755.581344
1458.608059 76347.457627 9855252 1590688755.581344
1457.142857 79026.315789 9855412 1590688755.584333
1457.142857 76347.457627 9855572 1590688755.585331
1456.410256 76347.457627 9855732 1590688755.586331
1457.142857 79026.315789 9855892 1590688755.586331
1460.073260 79026.315789 9856052 1590688755.587325
1462.271062 79026.315789 9856212 1590688755.587325
1466.666667 79026.315789 9856372 1590688755.598296
1470.329670 79026.315789 9856532 1590688755.599293
1473.260073 76347.457627 9856692 1590688755.621232
1475.457875 79026.315789 9856852 1590688755.621232
1479.853480 76347.457627 9857012 1590688755.621232
1483.516484 79026.315789 9857172 1590688755.621232
1487.179487 76347.457627 9857332 1590688755.632203
1489.377289 76347.457627 9857492 1590688755.632203
1493.040293 79026.315789 9857652 1590688755.639184
1495.238095 76347.457627 9857812 1590688755.640181
1498.168498 76347.457627 9857972 1590688755.647163
1501.831502 79026.315789 9858132 1590688755.647163
1504.029304 79026.315789 9858292 1590688755.658133
1505.494505 76347.457627 9858452 1590688755.658133
1506.959707 79026.315789 9858612 1590688755.674090
1508.424908 79026.315789 9858772 1590688755.675087
1506.959707 79026.315789 9858932 1590688755.682070
1504.761905 79026.315789 9859092 1590688755.682070
1501.831502 79026.315789 9859252 1590688755.692043
1496.703297 79026.315789 9859412 1590688755.692043
1489.377289 76347.457627 9859572 1590688755.693040
1483.516484 79026.315789 9859732 1590688755.693040
1476.923077 79026.315789 9859892 1590688755.706006
1468.131868 79026.315789 9860052 1590688755.706006
1459.340659 76347.457627 9860212 1590688755.714980
1452.014652 79026.315789 9860372 1590688755.714980
1443.956044 79026.315789 9860532 1590688755.725949
1434.432234 79026.315789 9860692 1590688755.725949
1426.373626 79026.315789 9860852 1590688755.730937
1418.315018 79026.315789 9861012 1590688755.730937
1409.523810 79026.315789 9861172 1590688755.741961
1402.197802 76347.457627 9861332 1590688755.741961
1396.336996 79026.315789 9861492 1590688755.750938
1389.743590 76347.457627 9861652 1590688755.750938
1382.417582 79026.315789 9861812 1590688755.761908
1376.556777 79026.315789 9861972 1590688755.762904
1370.695971 79026.315789 9862132 1590688755.781880
1362.637363 76347.457627 9862292 1590688755.782851
1356.043956 79026.315789 9862452 1590688755.782851
1349.450549 76347.457627 9862612 1590688755.782851
1339.926740 79026.315789 9862772 1590688755.793822
1331.868132 79026.315789 9862932 1590688755.793822
1326.007326 76347.457627 9863092 1590688755.804796
1318.681319 76347.457627 9863252 1590688755.804796
1312.820513 79026.315789 9863412 1590688755.805789
1308.424908 79026.315789 9863572 1590688755.805789
1304.761905 73844.262295 9863732 1590688755.819830
1300.366300 79026.315789 9863892 1590688755.819830
1297.435897 79026.315789 9864052 1590688755.838775
1295.970696 79026.315789 9864212 1590688755.838775
1293.040293 76347.457627 9864372 1590688755.839768
1291.575092 79026.315789 9864532 1590688755.839768
1292.307692 76347.457627 9864692 1590688755.854734
1293.772894 76347.457627 9864852 1590688755.854734
1292.307692 79026.315789 9865012 1590688755.855730
1293.040293 79026.315789 9865172 1590688755.856756
1293.772894 76347.457627 9865332 1590688755.873683
1293.772894 76347.457627 9865492 1590688755.873683
1295.238095 79026.315789 9865652 1590688755.888634
1297.435897 79026.315789 9865812 1590688755.888634
1298.168498 79026.315789 9865972 1590688755.895615
1298.168498 76347.457627 9866132 1590688755.895615
1298.901099 79026.315789 9866292 1590688755.922542
1300.366300 76347.457627 9866452 1590688755.922542
1300.366300 76347.457627 9866612 1590688755.923539
1300.366300 79026.315789 9866772 1590688755.923539
1301.098901 79026.315789 9866932 1590688755.950468
1301.098901 76347.457627 9867092 1590688755.951466
1301.831502 79026.315789 9867252 1590688755.952461
1303.296703 79026.315789 9867412 1590688755.952461
1304.029304 79026.315789 9867572 1590688755.965427
1303.296703 79026.315789 9867732 1590688755.966426
1304.029304 79026.315789 9867892 1590688755.967448
1304.029304 79026.315789 9868052 1590688755.967448
1304.761905 76347.457627 9868212 1590688755.968455
1304.761905 76347.457627 9868372 1590688755.968455
1306.227106 76347.457627 9868532 1590688755.969429
1305.494505 79026.315789 9868692 1590688755.969429
1305.494505 76347.457627 9868852 1590688755.984392
1304.761905 79026.315789 9869012 1590688755.984392
1303.296703 79026.315789 9869172 1590688755.990360
1299.633700 76347.457627 9869332 1590688755.991359
1297.435897 79026.315789 9869492 1590688755.997370
1296.703297 79026.315789 9869652 1590688755.997370
1294.505495 79026.315789 9869812 1590688756.007315
1292.307692 79026.315789 9869972 1590688756.007315
1290.842491 79026.315789 9870132 1590688756.018286
1289.377289 79026.315789 9870292 1590688756.018286
1287.912088 79026.315789 9870452 1590688756.031252
1287.912088 79026.315789 9870612 1590688756.031252
1290.109890 76347.457627 9870772 1590688756.032249
1292.307692 79026.315789 9870932 1590688756.032249
1298.168498 79026.315789 9871092 1590688756.064164
1307.692308 76347.457627 9871252 1590688756.065162
1323.809524 79026.315789 9871412 1590688756.066158
1342.857143 76347.457627 9871572 1590688756.066158
1367.765568 79026.315789 9871732 1590688756.067156
1396.336996 79026.315789 9871892 1590688756.067156
1428.571429 79026.315789 9872052 1590688756.079123
1466.666667 76347.457627 9872212 1590688756.080148
1504.761905 79026.315789 9872372 1590688756.091091
1543.589744 76347.457627 9872532 1590688756.091091
1582.417582 79026.315789 9872692 1590688756.105054
1622.710623 76347.457627 9872852 1590688756.105054
1663.003663 76347.457627 9873012 1590688756.116024
1698.901099 76347.457627 9873172 1590688756.116024
1733.333333 76347.457627 9873332 1590688756.125000
1765.567766 76347.457627 9873492 1590688756.125000
1793.406593 76347.457627 9873652 1590688756.134974
1819.780220 76347.457627 9873812 1590688756.134974
1843.956044 79026.315789 9873972 1590688756.141956
1863.003663 79026.315789 9874132 1590688756.141956
1877.655678 79026.315789 9874292 1590688756.157932
1890.842491 79026.315789 9874452 1590688756.158909
1900.366300 76347.457627 9874612 1590688756.165891
1905.494505 79026.315789 9874772 1590688756.165891
1904.761905 79026.315789 9874932 1590688756.170878
1903.296703 79026.315789 9875092 1590688756.170878
1897.435897 76347.457627 9875252 1590688756.176862
1888.644689 79026.315789 9875412 1590688756.176862
1879.853480 76347.457627 9875572 1590688756.186835
1868.131868 76347.457627 9875732 1590688756.186835
1853.479853 76347.457627 9875892 1590688756.191821
1836.630037 76347.457627 9876052 1590688756.191821
1821.978022 76347.457627 9876212 1590688756.199800
1805.128205 76347.457627 9876372 1590688756.199800
1788.278388 76347.457627 9876532 1590688756.211768
1772.893773 76347.457627 9876692 1590688756.211768
1757.509158 76347.457627 9876852 1590688756.220744
1742.124542 79026.315789 9877012 1590688756.220744
1726.739927 79026.315789 9877172 1590688756.231741
1713.553114 79026.315789 9877332 1590688756.231741
1698.168498 76347.457627 9877492 1590688756.235705
1687.179487 79026.315789 9877652 1590688756.235705
1678.388278 76347.457627 9877812 1590688756.248670
1666.666667 76347.457627 9877972 1590688756.248670
1657.875458 73844.262295 9878132 1590688756.305930
1650.549451 76347.457627 9878292 1590688756.305930
1645.421245 76347.457627 9878452 1590688756.306896
1640.293040 76347.457627 9878612 1590688756.306896
1637.362637 79026.315789 9878772 1590688756.310885
1635.164835 79026.315789 9878932 1590688756.310885
